slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
batumni01,Nicolas Batum,SMALL FORWARD,30,CHARLOTTE HORNETS,75,72,2354,253,562,116,298,77,89,71,319,247,71,43,117,140,14.5,1.6,-0.3,0.4,14.9,1.7,0.158,-0.7,3.2,2.0,11.9,1.5,0.53,8.9,0.581,16.3,13.2,1.0,3.7,0.076,78,118,.661,45,.577,.828
bazemke01,Kent Bazemore,SHOOTING GUARD,29,ATLANTA HAWKS,67,35,1643,278,691,96,300,127,175,37,224,152,89,42,121,170,13.5,2.2,-2.3,0.2,14.6,1.4,0.253,-2.5,2.3,-0.7,11.9,2.5,0.434,8.3,0.507,13.6,22.0,-0.1,0.7,0.021,118,193,.611,57,.483,.844
bealbr01,Bradley Beal,SHOOTING GUARD,25,WASHINGTON WIZARDS,82,82,3028,764,1609,209,596,362,448,89,322,448,121,58,224,226,24.1,1.6,2.9,-0.8,11.7,1.7,0.278,3.8,3.1,5.9,20.8,1.9,0.37,7.4,0.581,11.0,28.4,3.7,7.6,0.12,315,452,.697,160,.508,.718
beaslma01,Malik Beasley,SHOOTING GUARD,22,DENVER NUGGETS,81,18,1879,349,737,163,405,56,66,35,165,97,55,10,55,116,7.5,0.5,0.1,-0.7,9.5,1.6,0.09,0.8,2.0,2.9,14.2,1.4,0.55,5.8,0.599,6.7,18.7,1.0,4.5,0.115,116,161,.720,94,.810,.962
belinma01,Marco Belinelli,SHOOTING GUARD,32,SAN ANTONIO SPURS,79,1,1815,285,690,147,395,112,124,16,182,132,35,8,72,121,10.1,0.4,-1.7,-1.2,10.8,1.1,0.18,-0.5,1.0,1.4,11.9,0.9,0.5720000000000001,5.9,0.557,8.8,19.8,0.1,2.5,0.065,48,83,.578,36,.750,.852
bembrde01,DeAndre' Bembry,SHOOTING GUARD,24,ATLANTA HAWKS,82,15,1931,275,616,50,173,87,136,54,304,202,105,41,142,190,14.7,1.8,-2.4,0.8,16.9,1.7,0.221,-3.3,2.9,-0.9,10.8,2.5,0.281,9.7,0.508,17.4,17.2,-0.2,0.9,0.022000000000000002,179,298,.601,94,.525,.940
bertada01,Dāvis Bertāns,POWER FORWARD,26,SAN ANTONIO SPURS,76,12,1632,204,453,145,338,53,60,23,241,100,35,33,43,133,8.2,1.7,1.3,0.2,16.0,1.5,0.132,1.1,1.6,2.6,13.0,1.0,0.746,8.8,0.632,8.2,14.1,1.4,4.0,0.11800000000000001,26,35,.743,22,.846,.986
beverpa01,Patrick Beverley,POINT GUARD,30,LOS ANGELES CLIPPERS,78,49,2137,194,477,112,282,96,123,76,312,300,67,43,85,265,18.4,1.6,0.9,1.2,15.0,2.0,0.258,-0.3,3.9,2.8,11.8,1.5,0.591,9.6,0.561,13.8,12.2,1.5,4.8,0.10800000000000001,49,96,.510,9,.184,.864
bjeline01,Nemanja Bjelica,POWER FORWARD,30,SACRAMENTO KINGS,77,70,1788,284,593,103,257,70,92,125,319,147,54,56,82,197,11.1,2.7,0.9,0.5,18.8,1.9,0.155,0.4,7.0,2.7,15.4,1.4,0.433,12.8,0.585,11.5,16.5,1.3,4.5,0.122,120,189,.635,68,.567,.961
bledser01,Eric Bledsoe,POINT GUARD,29,MILWAUKEE BUCKS,78,78,2272,470,971,124,377,177,236,82,280,430,116,29,165,156,27.4,1.1,3.1,1.2,11.8,3.7,0.243,1.9,3.9,4.4,19.3,2.4,0.38799999999999996,8.1,0.5770000000000001,13.3,22.9,2.9,8.2,0.17300000000000001,312,428,.729,114,.365,.589
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,26,SACRAMENTO KINGS,70,17,1947,361,863,134,372,134,162,40,203,267,72,15,117,142,19.3,0.7,-0.6,-0.6,11.0,1.4,0.188,-0.1,2.1,1.3,14.1,1.7,0.431,6.4,0.53,11.1,22.3,0.7,2.7,0.067,83,145,.572,40,.482,.791
