,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Patrick Patterson 2018,-5.584,-0.791,3.141,-0.627,0.123,1.528,-0.714,0.358,0.380,-0.656,1.246,0.593,-1.446,-0.706,-1.349,0.540,-0.643,0.169,-0.150,-0.192,0.004,-0.550,-0.514,0.165
Brandon Paul 2018,-8.096,0.485,-0.028,-0.739,0.015,1.603,-0.656,-0.924,1.396,0.332,0.570,-0.366,-0.819,-2.374,0.409,1.203,0.705,0.935,-0.971,-0.136,0.802,-0.775,-0.003,-0.413
Chris Paul 2018,7.812,-6.462,-1.186,-2.397,4.584,3.625,-1.555,2.958,-1.392,0.678,-0.355,1.572,-0.648,1.574,0.326,-0.446,-0.844,-1.998,-0.997,0.231,0.001,-0.768,0.247,-0.330
Cameron Payne 2018,-4.684,-2.866,-3.184,-1.921,1.618,-0.397,0.877,2.295,1.510,-0.597,0.521,0.316,2.244,0.634,-0.242,0.351,-0.707,-1.307,-0.593,0.392,-1.086,-0.588,0.335,0.267
Elfrid Payton 2018,1.520,-1.166,-5.070,-2.784,1.093,0.138,-1.049,1.430,2.150,-0.770,-1.002,-1.106,1.196,0.449,0.583,0.070,0.170,-0.706,-0.233,-0.174,-0.666,0.471,0.278,0.496
Mason Plumlee 2018,0.268,7.444,-0.278,-2.739,0.122,0.823,-0.451,-0.540,-1.150,1.138,-1.373,-1.125,0.615,-1.103,-0.373,0.324,-0.744,0.487,0.846,0.021,-0.007,-0.168,-0.041,0.014
Miles Plumlee 2018,-5.100,6.232,-0.860,-0.603,0.405,-0.459,-0.684,-0.528,-2.245,0.980,-1.886,-0.750,0.161,-1.229,1.741,0.845,-0.784,1.550,-0.051,0.161,-0.193,1.564,-0.131,0.604
Jakob Poeltl 2018,0.234,7.507,1.750,-2.543,0.009,0.565,-2.231,-1.285,1.195,1.651,0.297,-2.342,1.291,2.282,0.679,-0.529,2.540,0.486,0.903,-1.830,-1.061,0.194,-0.317,-0.257
Otto Porter 2018,5.535,-1.756,3.866,2.092,-0.223,3.458,-0.329,0.461,1.437,-0.568,-1.064,1.534,0.438,0.977,0.130,0.777,0.066,-1.355,-0.906,-0.040,0.074,0.372,0.996,0.827
Bobby Portis 2018,2.947,1.210,0.888,2.390,0.298,-1.451,-0.367,1.059,0.051,-1.440,-0.649,0.785,-1.139,2.067,-0.648,1.724,1.058,0.072,1.128,-1.021,-0.086,-0.320,0.014,0.193
Kristaps Porziņģis 2018,6.735,1.027,1.146,5.423,1.058,-1.297,3.463,2.993,1.474,5.399,1.178,-1.312,0.214,0.549,-0.866,-0.344,-0.864,-0.372,-0.502,-1.369,0.095,-0.282,-0.370,0.664
Dwight Powell 2018,0.988,4.775,3.254,-1.917,1.352,1.270,-0.632,-2.096,1.277,-1.594,-0.920,-0.878,-1.191,-0.602,0.307,0.184,0.564,-1.290,0.042,-0.260,0.026,-0.645,0.223,-0.009
Norman Powell 2018,-5.425,-1.984,-0.327,-0.955,-1.305,-0.429,-1.163,0.382,0.533,0.180,0.650,-0.231,0.356,0.133,-0.595,0.467,-0.005,0.009,0.825,0.037,0.980,0.509,0.018,-1.098
Ivan Rabb 2018,-4.575,4.895,-1.661,1.490,3.006,0.267,0.549,-0.312,-1.795,0.210,-2.467,-0.052,0.809,0.929,0.056,2.372,-0.097,-0.761,-0.491,0.323,0.891,0.310,0.620,0.080
Julius Randle 2018,7.767,5.730,-1.223,-2.210,-1.211,-3.401,-1.387,-1.430,0.530,-1.796,0.559,-2.543,-1.435,-0.649,0.321,-0.192,0.794,-0.339,1.070,0.707,-0.655,-0.454,0.389,-1.312
Zach Randolph 2018,2.372,0.762,-1.777,2.919,-0.273,-2.118,-0.763,2.984,-0.190,-2.721,0.046,0.971,-0.031,-0.920,1.134,-0.371,1.060,-0.291,1.410,-0.379,0.395,0.216,-0.228,1.050
J.J. Redick 2018,3.009,-6.646,4.623,3.719,1.627,0.715,0.745,-2.002,-2.327,-0.854,-1.406,-0.518,1.499,-1.872,-0.299,-0.855,1.386,0.902,-1.273,-0.465,0.320,1.283,1.297,-0.462
Josh Richardson 2018,3.606,-3.333,1.290,-0.420,-2.982,2.524,-0.807,0.795,0.831,1.571,-0.455,-0.109,0.819,0.412,-1.014,-0.588,0.097,-0.950,0.389,-0.087,0.374,0.863,-0.770,0.422
Austin Rivers 2018,0.706,-4.979,-0.707,-2.347,-1.170,-2.637,-0.954,0.628,0.513,0.840,-0.810,0.520,1.162,0.063,-0.297,-0.951,-0.496,-0.639,0.237,0.197,-0.464,0.226,-0.759,0.179
Andre Roberson 2018,-4.741,2.771,-0.466,-4.891,-0.702,0.725,2.815,-1.108,2.362,0.747,2.111,1.219,2.119,0.442,2.311,-1.162,-1.054,-1.315,-0.107,-0.441,-3.279,0.976,0.151,0.516
Rajon Rondo 2018,-0.134,-2.888,-3.760,-3.876,-0.719,1.618,-1.733,1.557,-1.353,-2.551,-0.108,-1.409,1.623,0.511,1.481,0.497,-0.037,0.525,-0.755,-0.832,-0.058,0.282,-0.714,0.232
Terrence Ross 2018,-5.582,-1.488,-0.384,0.737,0.865,0.405,2.397,1.465,1.988,0.585,-1.020,-0.582,-0.032,-0.534,0.834,0.011,-1.635,-0.373,-0.458,1.411,0.169,-0.870,0.307,0.490
Terry Rozier 2018,1.738,-4.664,2.048,-1.724,-0.531,0.683,-0.557,0.539,-0.293,-0.211,1.072,2.565,0.106,1.574,-1.302,1.427,-0.311,-0.034,0.604,0.021,-0.080,0.255,1.105,-0.098
Ricky Rubio 2018,4.677,-4.772,-2.467,-1.252,-2.432,3.633,1.311,0.352,-1.436,0.223,-0.643,0.154,-1.687,0.372,-0.041,0.055,0.177,-0.833,-0.064,-0.310,-0.165,0.315,0.680,-0.145
D'Angelo Russell 2018,0.728,-4.685,-3.627,-0.310,0.551,-2.795,0.565,2.446,-0.717,0.618,-0.331,-1.318,1.072,1.202,0.401,1.508,-0.171,-0.213,0.483,0.525,0.472,-0.129,0.449,0.419
Domantas Sabonis 2018,3.649,5.440,-0.085,1.456,-1.353,-0.934,0.209,-0.812,-0.054,-1.533,-1.091,-1.874,-1.699,0.935,0.524,1.086,0.946,-0.036,0.145,-0.580,-0.687,-0.623,0.745,-0.956
Dario Šarić 2018,4.473,-1.260,4.132,-0.703,-0.883,-1.897,-0.340,-0.038,-0.808,-1.542,-0.146,0.037,-0.041,-0.021,0.298,1.285,0.638,-0.124,-0.669,-0.270,-0.482,0.663,-0.095,0.104
Tomáš Satoranský 2018,-1.088,-0.308,-0.280,-0.996,1.345,2.023,-2.786,-0.072,0.194,-1.163,0.116,-1.684,-0.401,0.039,0.201,0.011,0.854,-1.101,-0.965,0.035,-0.611,0.327,-0.059,0.413
Dennis Schröder 2018,5.560,-5.466,-5.386,1.380,-0.505,-1.153,0.124,-1.151,-0.332,0.230,-1.235,-0.494,0.851,0.986,0.225,0.472,-0.947,-0.120,0.117,-0.646,-0.178,-0.699,-0.391,0.182
Mike Scott 2018,-1.289,-0.018,1.597,4.891,0.530,0.449,-2.541,0.557,-0.481,-0.182,-0.991,-1.558,-1.407,0.255,1.038,0.390,-0.039,-0.334,0.366,-0.935,0.104,-0.346,1.184,-0.544
Thabo Sefolosha 2018,-3.134,0.574,0.958,-1.182,2.900,3.084,1.147,1.333,2.623,-0.611,-1.008,1.164,-1.049,-0.107,0.838,-0.716,-0.145,-0.299,1.157,-0.001,0.472,0.033,0.176,0.300
Wayne Selden 2018,-5.162,-2.646,-1.535,0.316,1.461,-2.346,0.452,0.464,0.418,0.229,-0.570,-1.372,-0.270,0.759,-0.140,-0.204,-0.800,-0.284,0.358,0.218,-0.630,0.527,0.216,0.031
Pascal Siakam 2018,-0.350,2.892,1.553,-1.649,-0.406,1.048,-2.164,0.159,1.808,-0.652,0.075,-0.489,-0.135,0.260,-0.053,1.253,-0.106,-0.006,0.879,0.387,0.078,-0.079,-0.294,-0.862
Ben Simmons 2018,11.631,3.843,-4.930,-4.520,-1.791,2.104,-3.331,1.716,0.990,-0.348,0.048,-0.398,0.113,-0.570,0.896,1.992,-2.160,0.339,-0.714,1.510,-0.303,-0.057,-0.841,-1.243
Jonathon Simmons 2018,1.429,-1.766,-1.907,0.480,-1.419,-2.126,-1.254,-0.465,0.179,0.243,-0.512,-1.174,-0.430,-1.275,0.480,-0.963,-0.001,-1.127,0.449,0.235,0.406,-0.367,0.580,0.605
Kobi Simmons 2018,-6.889,-0.868,-3.916,0.398,-0.689,-1.469,-0.238,-0.289,1.280,1.219,-0.506,-1.373,0.885,0.573,1.621,0.427,0.001,-0.192,-1.101,0.682,-0.653,-0.329,0.329,0.334
Marcus Smart 2018,-0.873,-3.365,-1.842,-2.434,-1.738,0.355,0.931,1.965,-0.031,1.045,-0.362,-0.397,-0.563,-0.086,-0.313,0.366,-0.550,-0.053,0.323,0.514,-0.395,0.106,0.265,-0.821
Dennis Smith Jr. 2018,2.214,-4.711,-3.637,-1.529,-3.304,-2.675,1.246,-0.067,-0.251,0.335,-0.203,-0.383,1.865,0.226,0.680,1.957,-0.552,-0.051,0.693,-0.251,0.145,-0.547,-0.385,0.505
Ish Smith 2018,1.691,-2.548,-4.069,1.371,-0.327,2.248,-3.111,-0.415,0.193,-0.266,0.664,-0.100,0.812,1.289,0.317,-0.202,-0.743,-0.189,0.711,0.503,-0.431,-0.244,0.267,0.398
J.R. Smith 2018,-2.746,-5.082,3.030,-0.195,-2.787,-0.585,-0.873,0.657,-1.424,0.040,0.057,0.913,0.372,-0.291,1.030,-1.030,0.276,-0.690,0.604,0.182,0.490,0.805,-0.243,0.467
Tony Snell 2018,-4.575,-3.270,3.786,0.113,-0.988,-0.267,-0.933,-0.902,0.249,0.140,0.276,-0.733,0.416,0.275,-0.036,-0.635,-1.461,-0.318,-0.434,1.012,-0.036,0.654,-0.431,0.736
Marreese Speights 2018,-4.739,-1.404,2.735,1.666,1.453,-2.285,0.534,2.354,-1.226,0.319,0.556,-0.410,-0.742,0.291,-0.955,-0.239,0.996,0.969,1.054,-0.563,0.228,-0.347,-1.296,-0.947
Lance Stephenson 2018,-0.112,-1.426,-1.301,-0.239,-2.136,-0.160,0.634,-0.030,-2.203,-1.090,0.934,-0.177,0.206,1.681,0.752,0.982,0.686,-0.358,2.364,0.696,0.727,0.011,0.206,-0.680
Jayson Tatum 2018,4.790,-1.052,2.143,0.217,-1.527,1.475,0.987,-2.212,0.986,0.845,0.537,-0.412,0.037,0.907,-0.411,0.673,-0.744,-0.355,0.126,0.274,0.078,1.882,0.614,-0.543
Isaiah Taylor 2018,-4.155,-1.159,-4.185,-1.055,-0.733,-1.479,-1.727,-1.201,0.250,0.514,0.620,-0.920,-0.194,-0.966,-0.567,0.417,-0.148,-0.129,-0.553,-0.171,-0.530,-0.929,0.150,0.338
Jeff Teague 2018,4.077,-4.268,-3.835,-2.305,-0.325,0.354,-2.657,1.306,-0.338,0.616,-0.465,-0.715,-0.670,-0.397,0.080,-1.065,-0.207,-0.586,-0.304,0.821,-0.872,-0.253,-0.497,1.353
Garrett Temple 2018,-3.399,-3.424,0.422,-0.026,-1.471,0.816,1.005,-0.243,-0.327,0.530,0.031,-0.459,0.553,0.183,0.623,-1.173,-0.647,-0.128,0.764,0.148,-0.278,-0.389,0.468,0.783
Miloš Teodosić 2018,-3.539,-4.873,-0.721,-0.570,0.882,-0.430,0.255,1.923,-2.559,-0.838,-0.498,-2.281,0.829,1.151,0.924,-0.832,0.149,-0.374,-0.167,0.661,0.147,-0.289,0.089,-0.571
Jason Terry 2018,-8.121,-3.013,1.290,-0.621,0.437,2.587,-0.287,0.646,0.752,-0.120,-0.477,0.192,-0.607,0.643,0.514,-2.695,-1.268,3.334,0.352,-0.533,1.235,-0.224,0.767,-0.202
Daniel Theis 2018,-2.769,4.487,1.947,-0.961,1.320,2.645,0.685,-0.029,-0.189,0.957,-0.934,-2.402,-1.089,1.278,-0.142,0.387,0.031,-0.172,0.719,-0.568,-0.748,-0.525,0.981,0.097
Lance Thomas 2018,-6.482,-0.660,1.012,0.124,-2.048,-0.402,0.738,-0.981,-0.962,-0.535,0.848,0.102,-1.366,0.430,-0.506,-1.112,-0.829,0.443,0.074,0.006,-1.764,-0.045,-0.827,0.684
Klay Thompson 2018,5.860,-7.056,4.929,7.112,-0.972,0.521,0.972,-0.801,-1.262,0.878,-1.528,0.058,2.985,-0.214,1.881,1.406,-0.380,-0.065,0.080,-2.079,-1.062,2.139,1.737,0.186
Tristan Thompson 2018,-3.037,7.131,-0.153,-0.244,1.136,-2.394,-1.080,-1.253,-1.432,-0.815,-1.609,1.587,0.492,0.368,1.361,0.622,-0.344,-0.046,-1.199,-0.038,-0.040,-0.180,0.527,0.350
Sindarius Thornwell 2018,-5.635,0.867,-0.341,-0.669,-1.332,1.207,-0.355,-0.983,0.810,0.512,-0.891,-1.191,-2.163,-0.270,-1.797,-0.199,-0.592,0.677,0.046,-0.337,-0.109,1.252,0.198,0.303
Anthony Tolliver 2018,-2.280,-2.520,6.936,-1.061,1.902,-0.383,-0.594,-0.557,-1.460,-0.644,0.067,-1.219,-1.093,-0.798,-0.152,-0.479,-0.824,-0.163,0.228,0.175,-0.503,-0.598,0.389,0.195
Karl-Anthony Towns 2018,14.181,4.892,5.094,0.113,-0.005,-1.407,-1.147,1.452,0.144,-1.871,0.973,-1.170,-0.834,1.288,-1.463,-0.304,0.183,-1.113,-1.078,0.644,-0.242,-0.389,1.354,-0.424
P.J. Tucker 2018,-2.481,-1.057,5.444,-1.986,-3.276,0.882,0.196,1.487,-1.344,-1.182,-0.246,0.995,-1.330,-0.403,0.191,-0.541,0.342,0.341,-0.403,-0.281,-0.016,-0.965,0.224,-0.031
Evan Turner 2018,-1.037,-1.387,-2.061,2.348,-1.659,1.562,-2.332,0.738,-0.571,1.868,1.787,-0.660,-1.182,0.443,1.581,-0.477,-0.922,-2.131,0.370,0.579,0.411,0.066,-0.735,0.207
Myles Turner 2018,3.126,2.857,2.179,3.020,-1.085,1.319,3.077,0.082,-0.565,1.126,0.781,-2.512,1.645,0.080,-2.334,-0.326,1.283,-0.808,-0.459,0.186,0.736,0.316,-0.276,0.098
Ekpe Udoh 2018,-4.107,6.320,-0.186,-3.633,2.156,3.850,-0.974,0.069,0.428,4.552,1.168,2.310,1.944,-1.557,-0.605,-0.819,0.958,0.688,0.088,-0.331,-1.464,0.103,-0.560,0.661
Tyler Ulis 2018,-2.586,-4.535,-5.850,1.068,-2.510,0.912,-1.643,0.188,-0.777,1.715,-0.400,0.284,-0.454,1.550,-0.078,0.252,-0.737,-0.504,-1.501,-1.007,1.131,-0.547,0.176,0.264
Jonas Valančiūnas 2018,6.166,7.059,2.139,1.125,0.896,-1.397,-2.499,1.869,0.322,-2.705,0.457,-1.380,-1.289,0.286,-1.575,0.567,-1.046,-1.444,0.167,-0.541,0.005,0.501,0.963,0.358
Denzel Valentine 2018,-0.246,-3.511,1.981,0.271,-2.233,0.040,-0.881,1.839,-1.029,-0.067,-0.422,0.431,-0.056,1.036,0.950,1.183,0.404,-0.887,-0.369,0.170,0.216,-0.388,0.503,-0.396
Fred VanVleet 2018,-1.350,-3.566,0.697,-3.948,0.642,0.714,-0.558,-0.379,0.709,-0.597,1.256,0.984,0.652,0.421,-1.573,1.070,-0.863,-0.698,0.220,-0.889,-1.694,-1.098,0.577,-0.073
Nikola Vučević 2018,5.577,2.415,0.999,3.223,-0.339,0.518,0.972,4.383,0.949,-1.300,-0.143,-0.132,0.981,-0.257,0.655,1.525,0.251,-0.202,-0.027,0.127,-0.040,-0.453,0.149,0.379
Dwyane Wade 2018,0.119,-0.005,-3.920,0.784,1.443,0.601,0.449,0.863,0.230,0.606,0.760,-0.032,0.872,-1.061,1.700,-0.726,-0.676,0.301,1.097,-1.064,0.768,-0.641,0.259,0.137
Dion Waiters 2018,-3.061,-3.916,-3.027,-0.022,0.334,-2.720,1.889,1.441,0.347,-0.043,-0.550,-0.630,1.593,0.482,0.195,-0.710,0.008,0.446,0.347,0.838,0.228,0.169,-0.564,-0.147
Kemba Walker 2018,8.392,-8.659,0.307,-1.813,2.216,-0.843,-0.395,-1.925,-1.568,0.637,0.347,1.131,0.939,0.358,-1.268,0.558,-0.801,0.802,-0.279,0.028,0.233,0.367,-0.163,1.361
John Wall 2018,4.541,-4.260,-5.672,-2.478,2.317,-0.244,3.279,1.010,-0.063,0.546,0.436,-1.944,2.225,-0.148,0.035,-0.046,0.093,0.966,-0.160,-0.010,-0.294,-0.619,-1.122,1.132
Tyrone Wallace 2018,-3.870,0.974,-2.776,-0.022,0.308,-1.489,0.247,0.900,2.069,1.180,-1.110,-1.205,-0.550,-0.858,0.621,-0.674,-0.665,-1.084,-1.340,0.537,-0.258,0.226,0.558,0.146
Taurean Prince 2018,2.759,-3.848,1.801,-1.388,-3.064,-2.018,-0.585,1.339,-0.547,1.293,0.181,-0.116,0.034,-0.028,0.857,1.286,0.510,0.004,0.497,-0.424,0.477,0.693,-0.447,0.989
T.J. Warren 2018,5.947,1.574,-1.816,4.954,-0.705,-1.667,-0.520,-2.022,3.442,0.817,-1.069,0.129,0.327,0.742,1.422,-0.784,-1.450,-0.333,0.052,-1.105,-0.045,-0.515,-0.796,-0.260
David West 2018,0.088,4.050,-0.184,2.345,2.506,5.447,-0.631,1.013,0.182,0.924,-0.159,-1.973,0.216,-0.051,0.488,-0.163,0.147,1.431,2.568,-1.385,-0.635,-0.611,-0.105,0.922
Russell Westbrook 2018,17.519,-4.034,-5.103,-3.110,-0.502,2.171,2.564,-0.510,-2.000,-2.001,0.321,0.263,-0.653,1.198,2.086,2.630,-0.773,1.093,0.203,-0.604,0.742,-0.905,-0.939,-0.714
Hassan Whiteside 2018,5.459,7.909,0.784,1.089,1.313,-0.200,1.447,3.747,2.141,-1.766,2.312,-1.455,-0.929,1.713,-0.351,0.195,0.932,-0.984,0.210,-2.063,-0.198,-0.123,0.827,3.206
Andrew Wiggins 2018,5.798,-2.389,-0.383,3.202,-3.615,-2.398,-1.254,-1.193,1.943,1.343,-0.008,0.475,1.192,-0.937,0.724,0.319,0.235,-0.098,0.189,0.262,0.932,0.135,0.132,0.986
C.J. Williams 2018,-6.436,-0.403,0.117,1.064,0.879,1.331,-0.552,0.600,2.265,0.998,-1.182,-0.169,0.180,-0.160,0.890,-0.341,-0.910,0.308,-0.216,1.292,0.050,-0.619,-0.887,-0.153
Lou Williams 2018,8.444,-7.619,-1.346,-0.478,2.368,-2.108,-1.531,-1.615,-1.049,1.397,-0.105,0.000,-0.815,-0.815,-0.487,-0.051,-0.387,1.723,0.568,-0.858,0.362,-0.800,0.623,1.053
Marvin Williams 2018,-0.391,-0.889,4.739,-0.674,0.262,0.023,-1.390,0.831,-0.367,-0.610,0.507,0.541,-0.687,-0.109,-0.157,-0.697,0.277,0.365,-0.713,-0.302,0.882,0.930,-0.821,0.824
Justise Winslow 2018,-1.505,1.214,-0.092,-1.692,-2.137,-0.508,-0.144,1.156,1.045,-0.373,1.533,0.708,-0.394,0.041,-0.352,1.155,0.789,-0.270,-0.638,-0.219,-0.422,0.299,-0.053,-0.110
Delon Wright 2018,-1.111,-1.070,-0.455,-3.834,1.697,1.678,-1.346,0.043,1.639,-0.399,1.163,0.359,0.185,0.312,-1.380,0.447,-0.303,0.041,0.935,-0.054,-0.728,0.427,0.261,0.474
Joe Young 2018,-7.417,-2.157,-2.196,1.074,1.170,-0.038,-0.965,-0.871,0.253,-0.542,1.229,0.409,0.049,1.717,-0.719,0.011,0.095,-0.194,0.030,-0.205,0.994,-0.066,0.136,0.173
Nick Young 2018,-4.785,-3.969,3.793,2.101,0.148,-0.432,-1.300,-0.784,-0.459,0.810,-0.095,0.350,-0.380,0.121,1.230,-0.490,0.059,0.346,0.875,0.116,0.982,-0.961,-0.313,0.131
Thaddeus Young 2018,4.008,1.887,0.930,-0.650,-3.422,0.699,-2.627,0.913,2.973,-2.408,-1.596,1.921,0.308,-0.269,0.001,-0.610,-0.609,-0.133,0.461,-0.628,0.430,0.256,-0.625,0.889
Cody Zeller 2018,-3.606,5.325,0.555,0.329,2.974,-0.357,1.401,-0.193,0.366,-0.623,-2.112,-2.655,-2.084,0.925,-0.776,-0.815,2.314,0.377,-0.480,-1.245,-0.061,1.699,0.128,1.186
Tyler Zeller 2018,-3.222,5.210,0.830,1.179,2.091,-1.786,-0.981,0.690,0.771,-1.283,-0.866,-1.293,-0.367,-0.558,0.254,0.076,0.597,0.574,-0.159,-0.539,-0.557,1.178,-0.524,0.680
Paul Zipser 2018,-7.641,-0.765,-0.459,0.859,-2.346,-0.733,1.376,0.304,0.087,0.799,0.925,-0.538,-0.470,0.664,0.918,0.839,0.041,1.352,0.037,1.254,-0.777,-0.221,-0.181,0.065
Álex Abrines 2019,-8.388,-2.134,2.745,0.773,0.614,-0.337,0.523,0.924,1.371,-0.277,-0.796,-0.230,-0.313,-0.567,-1.417,-0.333,-0.818,0.874,-2.314,-0.218,1.912,-0.551,-0.661,-2.225
Steven Adams 2019,8.063,9.215,0.065,-3.046,-2.284,-1.303,-3.564,-1.012,1.983,-0.502,-1.766,2.710,0.887,1.812,1.063,-2.180,0.396,1.638,-0.656,0.071,-0.041,-0.208,-0.894,-0.565
Bam Adebayo 2019,3.317,6.745,0.531,-2.301,-0.163,1.852,-1.242,-0.318,0.232,0.111,-0.309,-1.153,-1.625,0.245,-0.074,1.091,-0.155,-0.809,-0.614,-0.208,0.370,-0.077,0.828,-0.418
LaMarcus Aldridge 2019,13.371,5.187,-1.128,7.852,-0.199,0.147,-1.899,-0.024,0.718,-0.144,2.615,0.227,-0.444,-0.072,0.652,-1.628,-1.314,0.190,-0.612,-1.044,-0.764,-0.381,0.501,-0.442
Jarrett Allen 2019,4.460,8.649,2.564,-3.844,-0.627,-1.159,-0.423,-2.087,1.459,0.634,2.230,-1.113,1.281,0.482,0.942,0.109,1.052,1.014,-1.954,-0.440,0.181,0.030,0.079,0.084
Al-Farouq Aminu 2019,1.000,0.714,4.102,-2.554,-1.320,-0.523,0.247,-0.174,-0.459,-1.474,1.623,1.686,-0.864,0.275,0.692,0.201,0.326,-0.206,-1.270,-0.013,0.592,-0.089,-0.415,0.912
Kyle Anderson 2019,-1.620,2.938,-1.082,-1.886,0.192,1.941,0.286,2.175,1.718,-0.514,-0.494,-1.114,0.556,-0.717,-0.112,-0.312,0.305,-1.718,-0.341,0.718,0.779,1.723,-0.243,-0.045
Giannis Antetokounmpo 2019,18.968,4.845,0.723,-6.187,2.731,-0.122,2.570,-0.937,1.659,-1.593,2.095,-2.599,-0.514,0.201,0.149,1.090,-1.458,1.108,1.005,0.727,1.127,-0.369,-0.419,-2.528
OG Anunoby 2019,-4.196,-0.666,1.758,-1.463,-1.153,-0.770,0.021,-0.486,1.074,0.004,0.222,-0.438,0.090,0.663,-0.244,0.524,-0.741,-1.386,1.302,0.690,-0.577,0.076,-0.124,-0.567
Ryan Arcidiacono 2019,-2.663,-3.215,0.237,-1.567,-0.585,0.842,-2.810,-0.091,-0.596,0.013,-0.155,-0.762,-1.251,1.600,-0.518,-0.971,0.391,-1.439,-0.268,1.179,0.439,0.348,0.231,-0.303
Trevor Ariza 2019,-0.917,-3.281,2.332,-1.794,0.311,-2.309,2.171,1.210,0.242,-0.778,-0.979,0.432,0.151,-0.786,1.523,-0.684,-1.538,0.755,-0.219,-0.245,0.371,0.136,0.192,0.645
D.J. Augustin 2019,1.334,-5.303,-0.209,-2.868,1.431,0.021,-2.663,-1.419,-2.048,-1.360,0.965,-0.952,0.287,0.336,-0.139,-0.862,-1.587,-0.887,-0.551,0.418,-0.353,0.594,0.290,1.136
Deandre Ayton 2019,7.663,7.801,-0.419,2.638,-1.063,-1.325,-1.542,0.144,0.603,-0.697,-2.014,0.438,1.287,1.384,1.496,0.755,-0.388,-0.846,-1.084,0.018,0.976,-1.135,-0.081,-1.468
Dwayne Bacon 2019,-5.718,-0.325,0.445,1.489,1.543,-1.718,-0.501,-0.876,1.331,0.309,-0.039,-0.688,-0.029,0.515,1.077,0.158,-0.367,-0.291,-0.653,1.093,-1.236,-0.551,-0.415,0.286
Marvin Bagley III 2019,3.398,4.594,-0.538,1.793,0.742,-3.439,-0.625,0.657,1.403,0.200,0.704,-0.469,-0.789,0.809,-1.042,0.872,0.254,-0.473,0.258,0.090,0.254,-0.441,0.713,0.997
Lonzo Ball 2019,-1.728,-2.415,-0.771,-3.733,-1.789,0.291,1.597,2.519,0.828,-0.479,-0.758,0.003,1.207,0.528,0.658,1.291,-0.586,-0.442,-1.199,-0.149,-0.083,0.165,0.148,-0.436
Mo Bamba 2019,-3.733,4.930,1.805,0.281,0.808,0.415,2.383,1.246,0.149,1.615,0.944,-2.230,1.191,0.255,-0.768,1.964,0.056,-0.122,-0.091,0.313,-0.619,-0.901,0.291,0.975
J.J. Barea 2019,-2.467,-3.787,-5.082,-0.396,3.084,-0.963,-0.915,1.805,-0.865,-1.145,-0.007,-0.318,1.066,0.769,0.723,-0.332,-1.013,1.152,0.547,0.195,0.054,-1.382,1.020,0.560
Harrison Barnes 2019,1.264,-3.162,1.761,1.379,0.611,-4.476,0.017,0.751,1.394,1.023,0.260,1.094,-0.311,-1.200,0.977,-0.074,-0.201,0.535,-0.024,0.427,-0.451,0.844,0.065,0.550
Will Barton 2019,-2.286,-1.891,-0.406,0.357,0.086,-2.453,0.171,1.855,-0.135,0.079,0.615,-0.141,0.903,0.902,0.401,-0.489,-0.737,0.875,-0.501,0.182,0.161,0.549,0.687,0.152
Keita Bates-Diop 2019,-7.286,1.226,0.210,0.502,0.991,-0.625,1.491,-0.257,2.344,0.544,0.721,0.167,0.299,-0.552,0.936,1.101,-0.767,0.360,-0.382,1.197,-0.272,0.066,-0.698,0.514
Nicolas Batum 2019,-0.293,-2.000,2.532,-1.367,-1.328,1.187,-0.503,1.193,-1.339,-0.447,0.278,-0.994,0.363,0.051,1.072,-0.063,-0.183,-0.485,-0.720,0.141,1.124,0.368,-0.576,0.797
Jerryd Bayless 2019,-6.905,-3.029,-3.004,0.620,-0.124,-1.044,0.909,0.633,-0.433,-1.164,0.698,0.803,1.122,-0.269,-0.562,-0.635,-0.741,0.374,-1.383,-0.646,0.667,-0.823,-0.501,-0.550
Aron Baynes 2019,-3.894,4.393,1.674,-0.002,1.297,-0.250,0.266,1.084,-1.284,-0.190,-0.056,-1.130,-0.889,0.504,-0.053,-1.035,0.950,0.403,-0.005,-1.372,-0.592,0.097,-1.325,-0.023
Kent Bazemore 2019,-0.333,-2.510,0.093,-1.534,-2.573,-0.203,1.901,0.454,0.566,1.034,-0.828,-0.061,-0.041,-0.793,0.089,-0.215,-1.203,0.092,1.159,-0.641,0.703,-0.941,1.058,0.732
Bradley Beal 2019,12.393,-5.690,1.360,-0.583,-0.679,-1.399,-0.242,-1.324,0.114,1.264,-1.603,-0.722,1.215,-0.136,0.454,0.331,-0.213,0.069,0.625,-0.459,0.530,-0.547,-0.595,0.085
Malik Beasley 2019,-0.633,-3.812,5.054,0.937,0.343,-0.714,-2.343,-0.871,1.379,0.336,-1.266,0.094,0.469,0.835,0.450,1.269,-0.375,0.620,0.448,0.083,-0.502,0.069,0.804,-0.021
Marco Belinelli 2019,-1.965,-4.121,3.674,2.467,0.063,-0.696,-0.796,-0.609,-1.365,-0.038,-0.374,0.209,-0.102,-1.237,0.097,0.199,0.418,1.117,-0.363,-1.132,1.089,-0.918,0.480,-0.384
Jordan Bell 2019,-4.811,4.754,-1.073,0.547,1.155,2.421,-0.976,-0.759,-1.298,2.861,-0.348,-0.014,1.690,0.614,0.365,1.654,-0.288,1.381,-0.461,-0.395,0.912,-0.173,-0.138,-0.154
